0,1,1,-1,AREA 1 - Guard base,-
1,2,2,-1,You are the Predator an alien being and have been tasked with retrieving stolen technology from planet Earth. You equip yourself with your weapons and armour and fly to Earth in your spaceship.,-
2,3,22,-1,-,Choose where to land
3,4,5,-1,-,Disable alarm tower?
4,5,5,-1,You disable the alarm tower preventing reinforcements being called.,-
5,6,7,-1,-,Use cloaking device to try to sneak through?
6,36,36,-1,You enable the cloaking device and become more or less invisible to the naked eye and slip through the guard base to vehicle bay -20 energy.,-
7,8,22,-1,-,Do you leap onto the trees surrounding the base or go in through the front gate?
8,9,13,-1,-,Activate cloaking to stealthily kill the guards?
9,10,10,-1,You de-cloak after killing the 3 guards in the base but there were 2 more you didn't see. -20 energy. ,-
10,11,12,-1,-,Kill the guards or run for the vehicle bay?
11,36,36,-1,Both you and the guards are surprised but they manage to land a few shots on you as you rip them to pieces. You then proceed to the vehicle bay. -10 HP.,-
12,36,36,-1,As you run past them towards the entrance of the vehicle bay you are hit by waves of bullets but make it into the vehicle bay entrance. -20 HP.,-
13,14,15,-1,-,Leap to the enemies or run at them?
14,16,16,-1,You leap to the 2 guards on the ground and gut them making minimal sound. You then leap to the top of the guard tower and kill the guard there. However when you are going to the vehicle bay entrance you hear two guards behind you shouting then opening fire.,-
15,16,16,-1,You run at the enemies soaking up the damage and rip them to pieces. You then leap to the top of the tower and kill the guard.However when you are going to the vehicle bay entrance you hear two guards behind you shouting then opening fire. -15 HP.,-
16,17,18,-1,-,Make a run for the vehicle bay or turn around and kill the guards?
17,19,20,-1,-,Leap to the 2 guards or run at them?
18,36,36,-1,You make a run for the bay and only suffer minimal damage from the bullets. -10 HP.,-
19,21,21,-1,You leap through the air to the guards and snap both their necks. -15 HP.,-
20,21,21,-1,You run at the guards tanking the bullets being fired at you and gut them from where they stand. -25 HP.,-
21,36,36,-1,You then proceed to the vehicle bay.,-
22,23,23,-1,The 2 exterior guards spot you and begin firing their weapons at you. ,-
23,24,25,-1,-,Take cover or take the fight?
24,29,29,-1,You take cover behind a concrete wall.The other guards in the tower are alerted and one guard goes to what looks like an alarm tower.,-
25,26,27,-1,-,Do you run at them or leap through the air to them?
26,28,28,-1,You run at the guards and slice them to pieces but taking 25 damage in the process -25 HP.,-
